"","country","siffra","cowcode","ccode_qog","year","fhadd","revpol2","fhpol","ifhpol","regime1ny","regime1nyrobust","regimeny","regimenyrobust","mon","monrobust","mil","milrobust","mul","mulrobust","onep","oneprobust","nop","noprobust","partsz","partsz1","yrindep","yrterm","regstart","regstartrobust","lagregime1ny","lagregime1nyrobust","lagregimeny","lagregimenyrobust","regnumb1ny","regnumb1nyrobust","regnumbny2","regnumbny2robust","totdur1ny","totdur1nyrobust","totdurny2","totdurny2robust","persagg1ny","persagg1nyrobust","persaggny2","persaggny2robust","tenure1ny","tenure1nyrobust","tenureny2","tenureny2robust","chaexerv"
"1","Afghanistan",1,700,4,1972,4.16666650772095,1.5,2.83333325386047,2.83333325386047,"Monarchy",1,"no-party monarchy",23,1,1,0,0,0,0,0,0,1,1,NA,NA,1919,2005,1965,1965,"Monarchy",NA,"no-party monarchy",NA,1,1,1,1,8,8,8,8,0,0,0,0,1,1,1,1,0
"2","Afghanistan",1,700,4,1973,0.833333313465118,1.5,1.16666662693024,1.16666662693024,"Military",2,"military trad",4,0,0,1,1,0,0,0,0,0,0,NA,NA,1919,2010,NA,NA,"Monarchy","Monarchy","no-party monarchy","23",2,2,2,2,5,5,5,5,0.200000002980232,0.200000002980232,0.200000002980232,0.200000002980232,5,5,5,5,1
"3","Afghanistan",1,700,4,1974,0.833333313465118,1.5,1.16666662693024,1.16666662693024,"Military",2,"military trad",4,0,0,1,1,0,0,0,0,0,0,NA,NA,1919,2010,NA,NA,"Monarchy","Monarchy","no-party monarchy","23",2,2,2,2,5,5,5,5,0.200000002980232,0.200000002980232,0.200000002980232,0.200000002980232,5,5,5,5,0
"4","Afghanistan",1,700,4,1975,0.833333313465118,1.5,1.16666662693024,1.16666662693024,"Military",2,"military trad",4,0,0,1,1,0,0,0,0,0,0,NA,NA,1919,2010,NA,NA,"Monarchy","Monarchy","no-party monarchy","23",2,2,2,2,5,5,5,5,0.200000002980232,0.200000002980232,0.200000002980232,0.200000002980232,5,5,5,5,0
"5","Afghanistan",1,700,4,1976,0.833333313465118,1.5,1.16666662693024,1.16666662693024,"Military",2,"military trad",4,0,0,1,1,0,0,0,0,0,0,NA,NA,1919,2010,NA,NA,"Monarchy","Monarchy","no-party monarchy","23",2,2,2,2,5,5,5,5,0.200000002980232,0.200000002980232,0.200000002980232,0.200000002980232,5,5,5,5,0
"6","Afghanistan",1,700,4,1977,1.66666662693024,1.5,1.58333325386047,1.58333325386047,"Military",2,"military trad",4,0,0,1,1,0,0,0,0,0,0,NA,NA,1919,2010,NA,NA,"Monarchy","Monarchy","no-party monarchy","23",2,2,2,2,5,5,5,5,0.200000002980232,0.200000002980232,0.200000002980232,0.200000002980232,5,5,5,5,0
"7","Afghanistan",1,700,4,1978,0,5,2.5,2.5,"Other",99,"civil war",19,0,0,0,0,0,0,0,0,0,0,NA,NA,1919,2010,NA,NA,"Military","Military","military trad","4",3,3,3,3,26,26,1,1,0.307692319154739,0.307692319154739,1,1,3.24999976158142,3.24999976158142,1,1,1
"8","Afghanistan",1,700,4,1979,0,NA,NA,0.264271467924118,"Other",99,"occupation",20,0,0,0,0,0,0,0,0,0,0,NA,NA,1919,2010,NA,NA,"Military","Military","civil war","19",3,3,4,4,26,26,11,11,0.307692319154739,0.307692319154739,0.454545468091965,0.454545468091965,3.24999976158142,3.24999976158142,2.20000004768372,2.20000004768372,2
"9","Afghanistan",1,700,4,1980,0,NA,NA,0.264271467924118,"Other",99,"occupation",20,0,0,0,0,0,0,0,0,0,0,1,1,1919,2010,NA,NA,"Military","Military","civil war","19",3,3,4,4,26,26,11,11,0.307692319154739,0.307692319154739,0.454545468091965,0.454545468091965,3.24999976158142,3.24999976158142,2.20000004768372,2.20000004768372,0
"10","Afghanistan",1,700,4,1981,0,NA,NA,0.264271467924118,"Other",99,"occupation",20,0,0,0,0,0,0,0,0,0,0,1,1,1919,2010,NA,NA,"Military","Military","civil war","19",3,3,4,4,26,26,11,11,0.307692319154739,0.307692319154739,0.454545468091965,0.454545468091965,3.24999976158142,3.24999976158142,2.20000004768372,2.20000004768372,0
"11","Afghanistan",1,700,4,1982,0,NA,NA,0.264271467924118,"Other",99,"occupation",20,0,0,0,0,0,0,0,0,0,0,1,1,1919,2010,NA,NA,"Military","Military","civil war","19",3,3,4,4,26,26,11,11,0.307692319154739,0.307692319154739,0.454545468091965,0.454545468091965,3.24999976158142,3.24999976158142,2.20000004768372,2.20000004768372,0
"12","Afghanistan",1,700,4,1983,0,NA,NA,0.264271467924118,"Other",99,"occupation",20,0,0,0,0,0,0,0,0,0,0,1,1,1919,2010,NA,NA,"Military","Military","civil war","19",3,3,4,4,26,26,11,11,0.307692319154739,0.307692319154739,0.454545468091965,0.454545468091965,3.24999976158142,3.24999976158142,2.20000004768372,2.20000004768372,0
"13","Afghanistan",1,700,4,1984,0,NA,NA,0.264271467924118,"Other",99,"occupation",20,0,0,0,0,0,0,0,0,0,0,1,1,1919,2010,NA,NA,"Military","Military","civil war","19",3,3,4,4,26,26,11,11,0.307692319154739,0.307692319154739,0.454545468091965,0.454545468091965,3.24999976158142,3.24999976158142,2.20000004768372,2.20000004768372,0
"14","Afghanistan",1,700,4,1985,0,NA,NA,0.264271467924118,"Other",99,"occupation",20,0,0,0,0,0,0,0,0,0,0,1,1,1919,2010,NA,NA,"Military","Military","civil war","19",3,3,4,4,26,26,11,11,0.307692319154739,0.307692319154739,0.454545468091965,0.454545468091965,3.24999976158142,3.24999976158142,2.20000004768372,2.20000004768372,0
"15","Afghanistan",1,700,4,1986,0,NA,NA,0.264271467924118,"Other",99,"occupation",20,0,0,0,0,0,0,0,0,0,0,1,1,1919,2010,NA,NA,"Military","Military","civil war","19",3,3,4,4,26,26,11,11,0.307692319154739,0.307692319154739,0.454545468091965,0.454545468091965,3.24999976158142,3.24999976158142,2.20000004768372,2.20000004768372,1
"16","Afghanistan",1,700,4,1987,0,NA,NA,0.264271467924118,"Other",99,"occupation",20,0,0,0,0,0,0,0,0,0,0,1,1,1919,2010,NA,NA,"Military","Military","civil war","19",3,3,4,4,26,26,11,11,0.307692319154739,0.307692319154739,0.454545468091965,0.454545468091965,3.24999976158142,3.24999976158142,2.20000004768372,2.20000004768372,2
"17","Afghanistan",1,700,4,1988,1.66666662693024,NA,NA,1.92867958545685,"Other",99,"occupation",20,0,0,0,0,0,0,0,0,0,0,0.239130437374115,0.239130437374115,1919,2010,NA,NA,"Military","Military","civil war","19",3,3,4,4,26,26,11,11,0.307692319154739,0.307692319154739,0.454545468091965,0.454545468091965,3.24999976158142,3.24999976158142,2.20000004768372,2.20000004768372,0
"18","Afghanistan",1,700,4,1989,0,1,0.5,0.5,"Other",99,"occupation",20,0,0,0,0,0,0,0,0,0,0,0.239130437374115,0.239130437374115,1919,2010,NA,NA,"Military","Military","civil war","19",3,3,4,4,26,26,11,11,0.307692319154739,0.307692319154739,0.454545468091965,0.454545468091965,3.24999976158142,3.24999976158142,2.20000004768372,2.20000004768372,0
"19","Afghanistan",1,700,4,1990,0,1,0.5,0.5,"Other",99,"civil war",19,0,0,0,0,0,0,0,0,0,0,0.239130437374115,0.239130437374115,1919,2010,NA,NA,"Military","Military","occupation","20",3,3,5,5,26,26,6,6,0.307692319154739,0.307692319154739,0,0,3.24999976158142,3.24999976158142,6,6,0
"20","Afghanistan",1,700,4,1991,0,1,0.5,0.5,"Other",99,"civil war",19,0,0,0,0,0,0,0,0,0,0,0.239130437374115,0.239130437374115,1919,2010,NA,NA,"Military","Military","occupation","20",3,3,5,5,26,26,6,6,0.307692319154739,0.307692319154739,0,0,3.24999976158142,3.24999976158142,6,6,0
"21","Afghanistan",1,700,4,1992,1.66666662693024,5,3.33333325386047,3.33333325386047,"Other",99,"civil war",19,0,0,0,0,0,0,0,0,0,0,0.60098522901535,0.60098522901535,1919,2010,NA,NA,"Military","Military","occupation","20",3,3,5,5,26,26,6,6,0.307692319154739,0.307692319154739,0,0,3.24999976158142,3.24999976158142,6,6,0
"22","Afghanistan",1,700,4,1993,0,5,2.5,2.5,"Other",99,"civil war",19,0,0,0,0,0,0,0,0,0,0,0.60098522901535,0.60098522901535,1919,2010,NA,NA,"Military","Military","occupation","20",3,3,5,5,26,26,6,6,0.307692319154739,0.307692319154739,0,0,3.24999976158142,3.24999976158142,6,6,0
"23","Afghanistan",1,700,4,1994,0,5,2.5,2.5,"Other",99,"civil war",19,0,0,0,0,0,0,0,0,0,0,0.60098522901535,0.60098522901535,1919,2010,NA,NA,"Military","Military","occupation","20",3,3,5,5,26,26,6,6,0.307692319154739,0.307692319154739,0,0,3.24999976158142,3.24999976158142,6,6,0
"24","Afghanistan",1,700,4,1995,0,5,2.5,2.5,"Other",99,"civil war",19,0,0,0,0,0,0,0,0,0,0,0.60098522901535,0.60098522901535,1919,2010,NA,NA,"Military","Military","occupation","20",3,3,5,5,26,26,6,6,0.307692319154739,0.307692319154739,0,0,3.24999976158142,3.24999976158142,6,6,0
"25","Afghanistan",1,700,4,1996,0,1.5,0.75,0.75,"Other",99,"theocracy",21,0,0,0,0,0,0,0,0,0,0,NA,NA,1919,2010,NA,NA,"Military","Military","civil war","19",3,3,6,6,26,26,5,5,0.307692319154739,0.307692319154739,0.200000002980232,0.200000002980232,3.24999976158142,3.24999976158142,5,5,1
"26","Afghanistan",1,700,4,1997,0,1.5,0.75,0.75,"Other",99,"theocracy",21,0,0,0,0,0,0,0,0,0,0,NA,NA,1919,2010,NA,NA,"Military","Military","civil war","19",3,3,6,6,26,26,5,5,0.307692319154739,0.307692319154739,0.200000002980232,0.200000002980232,3.24999976158142,3.24999976158142,5,5,0
"27","Afghanistan",1,700,4,1998,0,1.5,0.75,0.75,"Other",99,"theocracy",21,0,0,0,0,0,0,0,0,0,0,NA,NA,1919,2010,NA,NA,"Military","Military","civil war","19",3,3,6,6,26,26,5,5,0.307692319154739,0.307692319154739,0.200000002980232,0.200000002980232,3.24999976158142,3.24999976158142,5,5,0
"28","Afghanistan",1,700,4,1999,0,1.5,0.75,0.75,"Other",99,"theocracy",21,0,0,0,0,0,0,0,0,0,0,NA,NA,1919,2010,NA,NA,"Military","Military","civil war","19",3,3,6,6,26,26,5,5,0.307692319154739,0.307692319154739,0.200000002980232,0.200000002980232,3.24999976158142,3.24999976158142,5,5,0
"29","Afghanistan",1,700,4,2000,0,1.5,0.75,0.75,"Other",99,"theocracy",21,0,0,0,0,0,0,0,0,0,0,NA,NA,1919,2010,NA,NA,"Military","Military","civil war","19",3,3,6,6,26,26,5,5,0.307692319154739,0.307692319154739,0.200000002980232,0.200000002980232,3.24999976158142,3.24999976158142,5,5,0
"30","Afghanistan",1,700,4,2001,0,NA,NA,0.264271467924118,"Other",99,"occupation",20,0,0,0,0,0,0,0,0,0,0,NA,NA,1919,2010,NA,NA,"Military","Military","theocracy","21",3,3,7,7,26,26,3,3,0.307692319154739,0.307692319154739,0.333333343267441,0.333333343267441,3.24999976158142,3.24999976158142,3,3,1
"31","Afghanistan",1,700,4,2002,1.66666662693024,NA,NA,1.92867958545685,"Other",99,"occupation",20,0,0,0,0,0,0,0,0,0,0,NA,NA,1919,2010,NA,NA,"Military","Military","theocracy","21",3,3,7,7,26,26,3,3,0.307692319154739,0.307692319154739,0.333333343267441,0.333333343267441,3.24999976158142,3.24999976158142,3,3,0
"32","Afghanistan",1,700,4,2003,1.66666662693024,NA,NA,1.92867958545685,"Other",99,"occupation",20,0,0,0,0,0,0,0,0,0,0,NA,NA,1919,2010,NA,NA,"Military","Military","theocracy","21",3,3,7,7,26,26,3,3,0.307692319154739,0.307692319154739,0.333333343267441,0.333333343267441,3.24999976158142,3.24999976158142,3,3,0
"33","Afghanistan",1,700,4,2004,2.5,NA,NA,2.76088380813599,"Multi-party",4,"limited multiparty",1,0,0,0,0,1,1,0,0,0,0,NA,NA,1919,2010,NA,NA,"Other","Other","occupation","20",4,4,8,8,11,11,11,11,0,0,0,0,11,11,11,11,0
"34","Afghanistan",1,700,4,2005,3.33333325386047,NA,NA,3.59308791160583,"Multi-party",4,"limited multiparty",1,0,0,0,0,1,1,0,0,0,0,NA,NA,1919,2010,NA,NA,"Other","Other","occupation","20",4,4,8,8,11,11,11,11,0,0,0,0,11,11,11,11,0
"35","Afghanistan",1,700,4,2006,3.33333325386047,NA,NA,3.59308791160583,"Multi-party",4,"limited multiparty",1,0,0,0,0,1,1,0,0,0,0,NA,NA,1919,2010,NA,NA,"Other","Other","occupation","20",4,4,8,8,11,11,11,11,0,0,0,0,11,11,11,11,0
"36","Afghanistan",1,700,4,2007,3.33333325386047,NA,NA,3.59308791160583,"Multi-party",4,"limited multiparty",1,0,0,0,0,1,1,0,0,0,0,NA,NA,1919,2010,NA,NA,"Other","Other","occupation","20",4,4,8,8,11,11,11,11,0,0,0,0,11,11,11,11,0
"37","Afghanistan",1,700,4,2008,2.5,NA,NA,2.76088380813599,"Multi-party",4,"limited multiparty",1,0,0,0,0,1,1,0,0,0,0,NA,NA,1919,2010,NA,NA,"Other","Other","occupation","20",4,4,8,8,11,11,11,11,0,0,0,0,11,11,11,11,0
